Code,Name,Registration_number,Keph level,Facility type,Owner,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
22998,Kaka Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,None,0,0,KAKAMEGA,LURAMBI,lurambi,SHEYWE,Operational,No,No,No,No,,Yes,Yes,No
22985,KOPANGA DISPENSARY,None,Level 2,Basic primary health care facility,Ministry of Health,None,2,1,MIGORI,SUNA WEST,suna west sub county,WASIMBETE,Operational,No,No,No,No,,Yes,Yes,No
22977,Fairview Medical Centre,None,Level 2,Secondary care hospitals,Private Practice - Unspecified,Nursing Council of Kenya (Private Practice),4,0,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE SOUTH,Operational,No,No,Yes,No,,Yes,Yes,No
22976,RADIANT GROUP OF HOSPITALS-UMOJA,None,Level 3,Secondary care hospitals,Private Practice - Unspecified,Kenya MPDB - Private Practice,34,0,NAIROBI,EMBAKASI WEST,embakasi west,UMOJA II,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22971,Songot Medical Clinic,None,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,None,0,0,TURKANA,TURKANA WEST,turkana west,LOKICHOGGIO,Operational,No,No,No,No,,Yes,Yes,No
22967,Vital Solutions Health Centre,None,Level 3,Basic primary health care facility,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),3,0,NAROK,NAROK WEST,narok west,SIANA,Operational,No,No,No,No,,Yes,Yes,No
22966,St.Ann's Catholic Dispensary Kapsorok,None,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,None,4,4,KERICHO,SIGOWET/SOIN,sigowet/soin,SOLIAT,Operational,No,No,Yes,No,,Yes,Yes,No
22963,Ankara Medical Centre,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,4,0,GARISSA,GARISSA TOWNSHIP,garissa,WABERI,Operational,No,No,No,No,,Yes,Yes,No
22949,George Mudenyo Kadima Nasio Trust (Mumias West),None,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,2,0,KAKAMEGA,MUMIAS WEST,mumias west,ETENJE,Operational,No,No,No,No,,Yes,Yes,No
22948,Nazareth Medical Services-Githurai,004231,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,GITHURAI,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
22946,Penda Medical Care-Kahawa West,None,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,KAHAWA WEST,Operational,No,Yes,Yes,No,,Yes,Yes,No
22938,The Mater Hospital-Satelite Clinic(TRM),None,Level 2,Basic primary health care facility,Kenya Episcopal Conference-Catholic Secretariat,None,0,0,NAIROBI,ROYSAMBU,roysambu,ROYSAMBU,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
22936,NAMUNYAK MEDICAL CENTRE,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,14,0,KAJIADO,KAJIADO EAST,kajiado east,KAPUTIEI NORTH,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22934,THE MAZIRA MEMORIAL HOSPITAL,None,Level 2,Dispensaries and clinic-out patient only,Private Company,None,2,0,KAJIADO,KAJIADO EAST,kajiado east,OLOOSIRKON/SHOLINKE,Operational,No,No,No,Yes,,Yes,Yes,No
22927,PREMIERCARE DIAGNOSTICS NAROK LIMITED,None,Level 4,Radiology Clinic,Private Company,None,0,0,NAROK,NAROK NORTH,narok north,NAROK TOWN,Operational,No,No,No,No,,Yes,Yes,No
